t,lowlevel_cnt,policy_run_steps,warmup,L_hip_pitch,L_hip_roll,L_hip_yaw,L_knee,L_ankle_pitch,L_ankle_roll,R_hip_pitch,R_hip_roll,R_hip_yaw,R_knee,R_ankle_pitch,R_ankle_roll
0.540000,540,540,1,0.88331121,-0.18011639,0.13327000,-1.33118165,-0.15202799,-1.95861566,0.82977790,1.39329684,0.79823589,-0.63426083,0.15310799,-1.16109228
0.550000,550,550,1,0.81568193,-0.12064251,0.17718132,-1.07267785,-0.13461173,-1.86977184,0.82537770,1.31168461,0.71665496,-0.60264003,0.11260413,-1.10274947
0.560000,560,560,1,0.74516624,-0.05231568,0.22258283,-0.78827858,-0.11956265,-1.76502848,0.81493413,1.21788096,0.62693733,-0.55866498,0.07699053,-1.03089154
0.570000,570,570,1,0.67043900,0.02081622,0.27046683,-0.46109977,-0.10966650,-1.64202595,0.80117840,1.09004116,0.51200265,-0.50153822,0.04135041,-0.93873596
0.580000,580,580,1,0.58984905,0.10083227,0.32613951,-0.09727002,-0.10490560,-1.50307763,0.78370905,0.93000758,0.36538616,-0.44158423,0.00293808,-0.82008255
0.590000,590,590,1,0.49834159,0.18199775,0.38469487,0.30462351,-0.11023756,-1.34525609,0.76188558,0.75001144,0.17536856,-0.38922793,-0.05227433,-0.64930248
0.600000,600,600,1,0.38019258,0.25982702,0.42749849,0.74548221,-0.13707012,-1.16315889,0.73091716,0.57290173,-0.08106637,-0.36230356,-0.17033760,-0.35259077
0.610000,610,610,1,0.19607006,0.30431163,0.40975487,1.25538158,-0.16629499,-0.94080126,0.73098165,0.42461014,-0.45097885,-0.39691448,-0.43099177,0.25913996
0.620000,620,620,1,-0.01334553,0.27867109,0.14364287,1.81184876,-0.21822058,-0.59577382,0.73437250,0.08145843,-0.91291267,-0.35814834,-0.77354747,1.23887753
0.630000,630,630,1,-0.28518644,0.01683153,-0.57649016,2.17482209,-0.35582420,-0.09612197,0.48392683,-0.54403543,-1.20819044,0.11786160,-0.88463712,2.55536962
0.640000,640,640,1,-0.43449458,-0.40896887,-1.70465279,1.68061566,-0.52355921,0.35355696,-0.09030356,-1.27340269,-0.90461951,1.53061306,-0.17959128,3.25490761
0.650000,650,650,1,-0.48691171,-0.91805923,-2.34535861,1.13945854,-0.87526816,0.60212380,-0.78114372,-1.27350903,-0.51115125,2.57437658,0.39984810,2.56806087
